               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080706,            0.052845,            0.023955,             0.35945,             0.51934,             0.44621,             0.25575,            0.063315,            0.029877,            0.011342,              0.0937,              0.0007,              0.0007
                   1,            0.060694,            0.052934,            0.022861,             0.51665,             0.56308,             0.58415,             0.36552,            0.052602,            0.029344,            0.010684,            0.086476,            0.001476,            0.001476
                   2,            0.055544,            0.060532,            0.023846,             0.59843,             0.55735,             0.62644,             0.38997,            0.049464,            0.029216,            0.010312,            0.079226,           0.0022264,           0.0022264
                   3,            0.052721,            0.050693,            0.020419,             0.59191,             0.62147,             0.65785,             0.40031,            0.047097,            0.029336,           0.0099418,            0.071951,           0.0029512,           0.0029512
                   4,            0.051103,            0.051071,            0.020627,             0.60063,              0.6732,             0.67374,             0.39623,            0.045488,            0.028812,           0.0092223,             0.06465,           0.0036504,           0.0036504
                   5,            0.049458,            0.048338,            0.019979,             0.60578,             0.67871,              0.6789,             0.40042,            0.045161,            0.027833,           0.0087791,            0.057324,            0.004324,            0.004324
                   6,             0.04819,            0.043555,            0.018786,              0.6467,             0.62547,             0.65607,             0.36702,            0.047898,            0.026762,            0.008317,            0.049972,            0.004972,            0.004972
                   7,            0.051719,            0.049717,            0.015608,             0.65854,             0.66478,             0.68341,             0.38686,            0.047847,            0.026176,           0.0078688,            0.042594,           0.0055944,           0.0055944
                   8,            0.050035,            0.048684,            0.016191,             0.69876,              0.6542,             0.71002,             0.43146,             0.04582,            0.025396,           0.0073222,            0.035191,           0.0061912,           0.0061912
                   9,            0.049889,             0.04539,            0.015042,             0.70553,             0.66499,             0.72884,             0.43285,            0.045404,            0.025222,           0.0071336,            0.027762,           0.0067624,           0.0067624
                  10,            0.051645,            0.049431,            0.014989,             0.71125,             0.65631,             0.71643,              0.4097,            0.046689,            0.025401,           0.0072396,            0.020308,            0.007308,            0.007308
                  11,            0.049898,            0.045856,            0.013934,             0.71035,             0.64374,             0.71237,             0.40509,            0.047522,            0.024452,           0.0070883,            0.012828,            0.007828,            0.007828
