epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1207,1.16608,1.32324,1.27291,0.68175,0.61066,0.68218,0.52722,1.03046,0.95377,1.10398,8.33e-06,8.33e-06,8.33e-06
2,29.6097,1.16001,1.24007,1.22195,0.71123,0.63023,0.69342,0.53349,1.02564,0.92758,1.09755,1.76733e-05,1.76733e-05,1.76733e-05
3,39.2345,1.12712,1.16859,1.25175,0.73838,0.6307,0.69969,0.54012,1.02057,0.9128,1.09306,2.68281e-05,2.68281e-05,2.68281e-05
4,47.9279,1.12927,1.14356,1.20432,0.78216,0.62847,0.71271,0.55254,1.01413,0.89048,1.087,3.57944e-05,3.57944e-05,3.57944e-05
5,56.3698,1.10313,1.11101,1.20813,0.76933,0.66492,0.72306,0.5617,0.99366,0.86797,1.07255,4.45722e-05,4.45722e-05,4.45722e-05
6,65.8834,1.13641,1.13568,1.18858,0.76552,0.65946,0.72481,0.56438,0.97965,0.84222,1.06579,5.31615e-05,5.31615e-05,5.31615e-05
7,74.3101,1.10504,1.0583,1.19645,0.76725,0.67763,0.73201,0.57341,0.97502,0.83007,1.06297,6.15623e-05,6.15623e-05,6.15623e-05
8,82.4041,1.08804,1.0255,1.19881,0.77653,0.69801,0.7452,0.58601,0.96342,0.81269,1.05617,6.97746e-05,6.97746e-05,6.97746e-05
9,90.4172,1.05855,1.05334,1.18136,0.77721,0.7136,0.75869,0.59338,0.95562,0.78652,1.05176,7.77984e-05,7.77984e-05,7.77984e-05
10,100.077,1.06007,0.98781,1.19119,0.77973,0.71755,0.76392,0.60184,0.95124,0.77014,1.04744,8.56337e-05,8.56337e-05,8.56337e-05
11,109.733,1.05148,0.98465,1.16592,0.77839,0.71524,0.77399,0.60901,0.94137,0.74908,1.04046,9.32805e-05,9.32805e-05,9.32805e-05
12,129.521,1.02796,0.93531,1.13492,0.80793,0.69798,0.77967,0.61513,0.93611,0.73751,1.03497,0.000100739,0.000100739,0.000100739
13,140.698,1.05614,0.93256,1.16585,0.82455,0.69333,0.78069,0.62228,0.92763,0.72611,1.02828,0.000104863,0.000104863,0.000104863
14,151.72,1.02128,0.94144,1.14882,0.86361,0.67743,0.79614,0.62758,0.91385,0.71219,1.02193,0.000103685,0.000103685,0.000103685
